Country,Country Code,CO2 Emmisions (kt),GDP (current US $)
Afghanistan,AFG,7440,18353881130
Albania,ALB,5560,15147020535
Algeria,DZA,151670,1.75415E+11
Andorra,AND,460,3218316013
Angola,AGO,27340,1.01353E+11
Antigua and Barbuda,ATG,530,1605351852
Argentina,ARG,177410,5.17627E+11
Armenia,ARM,5550,12457941907
Australia,AUS,386620,1.43288E+12
Austria,AUT,63180,4.54873E+11
Azerbaijan,AZE,32020,47112941176
"Bahamas, The",BHS,2260,13022100000
Bahrain,BHR,30750,37652500000
Bangladesh,BGD,82760,2.74039E+11
Barbados,BRB,1250,5086500000
Belarus,BLR,59310,60031262269
Belgium,BEL,93470,5.43411E+11
Belize,BLZ,680,1915899787
Benin,BEN,7910,14250987026
Bhutan,BTN,1380,2446866405
Bolivia,BOL,22710,40287647931
Bosnia and Herzegovina,BIH,22540,20183510561
Botswana,BWA,8210,18663265549
Brazil,BRA,427710,1.91695E+12
Brunei Darussalam,BRN,7140,13567351175
Bulgaria,BGR,41130,66230155100
Burkina Faso,BFA,4270,16059910871
Burundi,BDI,590,3036937141
Cabo Verde,CPV,620,1966983316
Cambodia,KHM,11160,24571753584
Cameroon,CMR,8620,38694156863
Canada,CAN,574400,1.72185E+12
Central African Republic,CAF,330,2220979145
Chad,TCD,1070,11239167048
Chile,CHL,86620,2.97572E+11
China,CHN,10313460,1.38948E+13
Colombia,COL,79490,3.34198E+11
Comoros,COM,260,1178530634
"Congo, Dem. Rep.",COD,2200,46831342213
"Congo, Rep.",COG,3220,13642740884
Costa Rica,CRI,8260,62335931464
Cote d'Ivoire,CIV,9910,58011466451
Croatia,HRV,16580,61375222347
Cuba,CUB,24970,1.0005E+11
Cyprus,CYP,7230,25309818139
Czech Republic,CZE,102480,2.4895E+11
Denmark,DNK,33380,3.56879E+11
Djibouti,DJI,490,3012820410
Dominica,DMA,180,551074074.1
Dominican Republic,DOM,25120,85555378043
Ecuador,ECU,39530,1.07562E+11
"Egypt, Arab Rep.",EGY,246260,2.49713E+11
El Salvador,SLV,6810,26020850000
Equatorial Guinea,GNQ,6670,13097012189
Estonia,EST,16000,30616184212
Eswatini,SWZ,1090,4665424249
Ethiopia,ETH,16280,84269348327
Fiji,FJI,1900,5581393121
Finland,FIN,44360,2.7585E+11
France,FRA,309960,2.7865E+12
Gabon,GAB,4610,16862282414
"Gambia, The",GMB,570,1670670669
Georgia,GEO,9460,17599700091
Germany,DEU,709540,3.96183E+12
Ghana,GHA,16110,65315955123
Greece,GRC,65290,2.12146E+11
Grenada,GRD,300,1168696296
Guatemala,GTM,18210,73208583759
Guinea,GIN,3120,11857030337
Guinea-Bissau,GNB,310,1504630121
Guyana,GUY,2440,4787635821
Haiti,HTI,3330,15965670198
Honduras,HND,9770,24067778954
Hungary,HUN,46390,1.60431E+11
Iceland,ISL,2200,26224228693
India,IND,2434520,2.70111E+12
Indonesia,IDN,583110,1.04227E+12
"Iran, Islamic Rep.",IRN,629290,2.94357E+11
Iraq,IRQ,188140,2.12272E+11
Ireland,IRL,37110,3.85967E+11
Israel,ISR,61970,3.70456E+11
Italy,ITA,324850,2.09112E+12
Jamaica,JAM,8510,15730793853
Japan,JPN,1106150,4.95481E+12
Jordan,JOR,24700,42932112676
Kazakhstan,KAZ,220450,1.7934E+11
Kenya,KEN,18400,87778582964
Kiribati,KIR,80,196737896
"Korea, Rep.",KOR,630870,1.72485E+12
Kuwait,KWT,89460,1.38182E+11
Kyrgyz Republic,KGZ,11000,8271106196
Lao PDR,LAO,18790,17953786416
Latvia,LVA,7630,34399206590
Lebanon,LBN,27710,54961275742
Lesotho,LSO,2570,2514146888
Liberia,LBR,1320,3264000000
Libya,LBY,58940,52607888718
Liechtenstein,LIE,140,6839145107
Lithuania,LTU,11590,53696648755
Luxembourg,LUX,9320,70885325883
Madagascar,MDG,3370,13614412551
Malawi,MWI,1570,9712994565
Malaysia,MYS,239620,3.58715E+11
Maldives,MDV,1910,5299773144
Mali,MLI,5620,17070866299
Malta,MLT,1550,14864712990
Marshall Islands,MHL,190,221588900
Mauritania,MRT,4000,7050987978
Mauritius,MUS,4130,14181930162
Mexico,MEX,472140,1.22235E+12
"Micronesia, Fed. Sts.",FSM,180,401932300
Moldova,MDA,8590,11456728401
Mongolia,MNG,21320,13108769496
Montenegro,MNE,2520,5506767832
Morocco,MAR,66680,1.18096E+11
Mozambique,MOZ,6640,14845870051
Myanmar,MMR,32520,68697759361
Namibia,NAM,4250,13681065175
Nauru,NRU,70,124021393.7
Nepal,NPL,12030,33111525183
Netherlands,NLD,151170,9.13597E+11
New Zealand,NZL,32210,2.12226E+11
Nicaragua,NIC,5210,13025208220
Niger,NER,2290,12846952857
Nigeria,NGA,130670,3.9719E+11
North Macedonia,MKD,7370,12679934731
Norway,NOR,37350,4.37E+11
Oman,OMN,73370,79788768969
Pakistan,PAK,208370,3.14568E+11
Palau,PLW,290,280435700
Panama,PAN,10140,64928300000
Papua New Guinea,PNG,7460,24109509853
Paraguay,PRY,8420,40225448341
Peru,PER,54280,2.22575E+11
Philippines,PHL,142240,3.46842E+11
Poland,POL,312740,5.87409E+11
Portugal,PRT,49780,2.42195E+11
Qatar,QAT,90170,1.83335E+11
Romania,ROU,74880,2.41457E+11
Russian Federation,RUS,1607550,1.65733E+12
Rwanda,RWA,1080,9640280084
Samoa,WSM,320,821496064.5
Sao Tome and Principe,STP,140,412253809.7
Saudi Arabia,SAU,514600,7.86522E+11
Senegal,SEN,9860,23116699808
Serbia,SRB,45540,50640650221
Seychelles,SYC,620,1586009000
Sierra Leone,SLE,1020,4085114794
Singapore,SGP,47360,3.75982E+11
Slovak Republic,SVK,33000,1.05475E+11
Slovenia,SVN,14050,54135187444
Solomon Islands,SLB,370,1574599183
Somalia,SOM,690,4720727283
South Africa,ZAF,433250,3.68289E+11
Spain,ESP,258340,1.42146E+12
Sri Lanka,LKA,21630,87954272082
St. Kitts and Nevis,KNA,260,1010822222
St. Lucia,LCA,390,2065875074
St. Vincent and the Grenadines,VCT,280,811300000
Sudan,SDN,20200,34522586970
Suriname,SUR,2080,3996247906
Sweden,SWE,36000,5.55455E+11
Switzerland,CHE,37480,7.35889E+11
Tajikistan,TJK,7330,7765014424
Tanzania,TZA,11580,57003713748
Thailand,THA,257860,5.06611E+11
Timor-Leste,TLS,640,1559894900
Togo,TGO,2260,7112200725
Tonga,TON,190,489235527.4
Trinidad and Tobago,TTO,17760,23679919655
Tunisia,TUN,29980,39770478673
Turkey,TUR,412970,7.78377E+11
Turkmenistan,TKM,71730,40765428571
Tuvalu,TUV,10,42588164.97
Uganda,UGA,6130,32912338571
Ukraine,UKR,185370,1.30902E+11
United Arab Emirates,ARE,200300,4.22215E+11
United Kingdom,GBR,358800,2.85732E+12
United States,USA,4981300,2.06119E+13
Uruguay,URY,6520,64515038268
Uzbekistan,UZB,112090,50392607758
Vanuatu,VUT,180,914727908.1
Vietnam,VNM,257860,2.45214E+11
"Yemen, Rep.",YEM,9310,23486269599
Zambia,ZMB,7740,26311637647
Zimbabwe,ZWE,12270,19523622342
